PZN;Wirkstoffe;Artikelname (Hauptbegriff);Anbietername;Volumen (Bezugsgröße);Einh. (Bezugsgr.);Menge;Einh.;PpU (APU exkl. NBR);NBR;Erstattungsb.;APU / HAP;Taxe-EK;HR ges.;Ges. VK;V;DRF-Bez.;Aufnahme;Wirkstoffe und Mengen
14001144;Netupitant | Palonosetron hydrochlorid;AKYNZEO;Riemser;;;4;St;240;-5,76;245,76;240;248,26;0;314,48;;Hartkapseln;01.06.2018;Netupitant 300 mg | Palonosetron hydrochlorid 0,562 mg
11287648;Alectinib hydrochlorid;ALECENSA;Roche Ph.;;;224;St;6827,4;1998,11;4829,29;4829,29;4867,79;338,05;5976,63;;Hartkapseln;01.05.2017;Alectinib hydrochlorid 161,33 mg
13830826;Alectinib hydrochlorid;ALECENSA;Roche Ph.;;;240;St;7315,07;2140,83;5174,24;5174,24;5212,74;362,2;6399,44;AV;Hartkapseln;15.05.2018;Alectinib hydrochlorid 161,33 mg
13918716;Hydrocortison;ALKINDI;Diurnal;;;50;St;36,26;10,76;25,5;25,5;27;1,79;43,28;;Granulat;15.05.2018;Hydrocortison 0,5 mg
13918722;Hydrocortison;ALKINDI;Diurnal;;;50;St;72,51;21,51;51;51;53,31;3,57;75,53;;Granulat;15.05.2018;Hydrocortison 1 mg
13918739;Hydrocortison;ALKINDI;Diurnal;;;50;St;145;43;102;102;105,91;7,14;140;;Granulat;15.05.2018;Hydrocortison 2 mg
13918745;Hydrocortison;ALKINDI;Diurnal;;;50;St;362,5;107,5;255;255;263,73;17,85;333,44;;Granulat;15.05.2018;Hydrocortison 5 mg
11711098;Eftrenonacog alfa;ALPROLIX;Swedish Orphan;;;1;P;366,25;0;366,25;366,25;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.06.2016;Eftrenonacog alfa 250 I.E.
11711106;Eftrenonacog alfa;ALPROLIX;Swedish Orphan;;;1;P;732,5;0;732,5;732,5;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.06.2016;Eftrenonacog alfa 500 I.E.
11711112;Eftrenonacog alfa;ALPROLIX;Swedish Orphan;;;1;P;1465;0;1465;1465;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.06.2016;Eftrenonacog alfa 1000 I.E.
11711135;Eftrenonacog alfa;ALPROLIX;Swedish Orphan;;;1;P;2930;0;2930;2930;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.06.2016;Eftrenonacog alfa 2000 I.E.
11711158;Eftrenonacog alfa;ALPROLIX;Swedish Orphan;;;1;P;4395;0;4395;4395;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.06.2016;Eftrenonacog alfa 3000 I.E.
15232029;Brigatinib;ALUNBRIG;Takeda;;;28;St;1484;749,52;734,48;734,48;758,32;51,41;939,66;;Filmtabletten;15.09.2019;Brigatinib 30 mg
15232035;Brigatinib;ALUNBRIG;Takeda;;;56;St;2968;1499,04;1468,96;1468,96;1507,46;102,83;1857,88;AV;Filmtabletten;15.01.2019;Brigatinib 30 mg
15232041;Brigatinib;ALUNBRIG;Takeda;;;7;St;1113;562,14;550,86;550,86;568,91;38,56;707,5;AV;Filmtabletten;15.01.2019;Brigatinib 90 mg
15393608;Brigatinib;ALUNBRIG;Takeda;;;7;St;0;0;0;0;0;0;0;;Filmtabletten;15.01.2019;Brigatinib 90 mg
15232058;Brigatinib;ALUNBRIG;Takeda;;;28;St;4452;2248,57;2203,43;2203,43;2241,93;154,24;2758,12;;Filmtabletten;15.01.2019;Brigatinib 90 mg
15232064;Brigatinib;ALUNBRIG;Takeda;;;28;St;5936;1529,13;4406,87;4406,87;4445,37;308,48;5458,88;;Filmtabletten;15.01.2019;Brigatinib 180 mg
15232070;Brigatinib;ALUNBRIG;Takeda;;;1;P;5936;1529,13;4406,87;4406,87;4445,37;308,48;5458,88;;Filmtabletten;01.07.2019;Brigatinib 180 mg | Brigatinib 90 mg
10045133;Umeclidinium bromid | Vilanterol trifenatat;ANORO;GlaxoSmithKl.;;;1;St;51,16;13,17;37,99;37,99;39,89;2,66;59,08;;Inhalationspulver;15.07.2014;Umeclidinium bromid 74,15 µg | Vilanterol trifenatat 39,82 µg
10045162;Umeclidinium bromid | Vilanterol trifenatat;ANORO;GlaxoSmithKl.;;;1;St;0;0;0;0;0;0;0;;Inhalationspulver;15.07.2014;Vilanterol trifenatat 39,82 µg | Umeclidinium bromid 74,15 µg
10045156;Umeclidinium bromid | Vilanterol trifenatat;ANORO;GlaxoSmithKl.;;;3;St;153,47;39,51;113,96;113,96;118,25;7,98;155,13;;Inhalationspulver;15.07.2014;Vilanterol trifenatat 39,82 µg | Umeclidinium bromid 74,15 µg
03118096;Teriflunomid;AUBAGIO;Sanofi-Aventis;;;28;St;1495,89;764,03;731,86;731,86;755,61;51,23;936,34;;Filmtabletten;01.10.2013;Teriflunomid 14 mg
03118162;Teriflunomid;AUBAGIO;Sanofi-Aventis;;;84;St;4487,67;2292,08;2195,59;2195,59;2234,09;153,69;2748,51;;Filmtabletten;01.10.2013;Teriflunomid 14 mg
13228058;Avelumab;BAVENCIO;Merck Serono;10;ml;10;ml;913,46;126,8;786,66;786,66;812,14;55,07;1005,62;;Infusionslösungskonzentrat;15.10.2017;Avelumab 200 mg
08878021;Belimumab;BENLYSTA;GlaxoSmithKl.;;;1;St;149,29;19,1;130,19;130,19;134,99;0;175,64;;Pulver zur Herstellung eines Infusionslösungskonzentrates;15.08.2011;Belimumab 120 mg
12897656;Belimumab;BENLYSTA;GlaxoSmithKl.;1;ml;1;St;217;0;217;217;224,54;0;285,41;;Injektionslösung in einem Fertigpen;15.12.2017;Belimumab 200 mg
12897662;Belimumab;BENLYSTA;GlaxoSmithKl.;1;ml;4;St;868;0;868;868;896,04;0;1108,46;;Injektionslösung in einem Fertigpen;15.12.2017;Belimumab 200 mg
12897679;Belimumab;BENLYSTA;GlaxoSmithKl.;1;ml;3X4;St;2604;0;2604;2604;2642,5;0;3249,1;;Injektionslösung in einem Fertigpen;01.01.2019;Belimumab 200 mg
08878038;Belimumab;BENLYSTA;GlaxoSmithKl.;;;1;St;498,34;64,34;434;434;448,37;0;559,75;;Pulver zur Herstellung eines Infusionslösungskonzentrates;15.08.2011;Belimumab 400 mg
12490038;Inotuzumab ozogamicin;BESPONSA;Pfizer Pharma;;;1;St;13441;3691;9750;9750;9788,5;0;12007,96;;Pulver zur Herstellung eines Infusionslösungskonzentrates;01.08.2017;Inotuzumab ozogamicin 1 mg
11676019;Mirabegron;BETMIGA;Astellas;;;30;St;21,77;0;21,77;21,77;23,16;0;38,57;;Retard-Tabletten;15.08.2017;Mirabegron 50 mg
13898161;Mirabegron;BETMIGA;Astellas;;;3X10;St;0;0;0;0;0;0;0;;Retard-Tabletten;01.02.2019;Mirabegron 50 mg
11676025;Mirabegron;BETMIGA;Astellas;;;50;St;36,28;0;36,28;36,28;38,12;0;56,91;;Retard-Tabletten;15.08.2017;Mirabegron 50 mg
11676031;Mirabegron;BETMIGA;Astellas;;;100;St;72,56;0;72,56;72,56;75,55;0;102,79;;Retard-Tabletten;15.08.2017;Mirabegron 50 mg
14050272;Bictegravir natrium | Emtricitabin | Tenofovir alafenamid hemifumarat;BIKTARVY;Gilead Scien.;;;30;St;780;36,25;743,75;743,75;767,88;52,06;951,38;;Filmtabletten;15.07.2018;Emtricitabin 200 mg | Tenofovir alafenamid hemifumarat 28,05 mg | Bictegravir natrium 52,45 mg
14050289;Bictegravir natrium | Emtricitabin | Tenofovir alafenamid hemifumarat;BIKTARVY;Gilead Scien.;;;3X30;St;2340;108,75;2231,25;2231,25;2269,75;156,19;2792,22;;Filmtabletten;15.07.2018;Emtricitabin 200 mg | Bictegravir natrium 52,45 mg | Tenofovir alafenamid hemifumarat 28,05 mg
11235769;Fliegenmaden (Lucilia sericata);BIOBAG;BioMonde;;;1;St;0;0;0;0;0;0;0;;Beutel;15.06.2015;Fliegenmaden (Lucilia sericata) 50 Keime
11235723;Fliegenmaden (Lucilia sericata);BIOBAG;BioMonde;;;1;St;0;0;0;0;0;0;0;;Beutel;15.06.2015;Fliegenmaden (Lucilia sericata) 100 Keime
11235746;Fliegenmaden (Lucilia sericata);BIOBAG;BioMonde;;;1;St;0;0;0;0;0;0;0;;Beutel;15.06.2015;Fliegenmaden (Lucilia sericata) 200 Keime
11235752;Fliegenmaden (Lucilia sericata);BIOBAG;BioMonde;;;1;St;0;0;0;0;0;0;0;;Beutel;15.06.2015;Fliegenmaden (Lucilia sericata) 300 Keime
11235775;Fliegenmaden (Lucilia sericata);BIOMONDE;BioMonde;;;100;St;0;0;0;0;0;0;0;;;15.06.2015;Fliegenmaden (Lucilia sericata) 100 Keime
11235806;Fliegenmaden (Lucilia sericata);BIOMONDE;BioMonde;;;200;St;0;0;0;0;0;0;0;;;15.06.2015;Fliegenmaden (Lucilia sericata) 200 Keime
11182837;Blinatumomab;BLINCYTO;Amgen;;;1;St;2826,08;610,19;2215,89;2215,89;2254,39;155,11;2773,39;;Pulver u. Lösungsm. f.e. Konz. z. Herst. e. Infusionslösung;15.12.2015;Blinatumomab 38,5 µg
10276588;Bosutinib-1-Wasser;BOSULIF;Pfizer Pharma;;;28;St;1246;686,39;559,61;559,61;577,94;0;718,57;;Filmtabletten;01.02.2014;Bosutinib-1-Wasser 103,4 mg
10627220;Bosutinib-1-Wasser;BOSULIF;Pfizer Pharma;;;112;St;4984;2745,57;2238,43;2238,43;2276,93;0;2801,02;;Filmtabletten;01.12.2014;Bosutinib-1-Wasser 103,4 mg
13966891;Bosutinib-1-Wasser;BOSULIF;Pfizer Pharma;;;28;St;4984;2745,57;2238,43;2238,43;2276,93;0;2801,02;;Filmtabletten;15.06.2018;Bosutinib-1-Wasser 413,58 mg
10276602;Bosutinib-1-Wasser;BOSULIF;Pfizer Pharma;;;28;St;4984;2185,96;2798,04;2798,04;2836,54;0;3486,94;;Filmtabletten;01.02.2014;Bosutinib-1-Wasser 516,98 mg
14275924;Encorafenib;BRAFTOVI;Pierre Fabre P.;;;28;St;1018,84;393,96;624,88;624,88;645,26;43,74;801,08;;Hartkapseln;15.10.2018;Encorafenib 50 mg
14439656;Encorafenib;BRAFTOVI;Pierre Fabre P.;;;112;St;4075,34;1575,8;2499,54;2499,54;2538,04;174,97;3121,06;;Hartkapseln;01.02.2019;Encorafenib 50 mg
14275930;Encorafenib;BRAFTOVI;Pierre Fabre P.;;;42;St;1528,25;122,26;1405,99;1405,99;1444,49;98,42;1780,69;;Hartkapseln;15.10.2018;Encorafenib 75 mg
14439662;Encorafenib;BRAFTOVI;Pierre Fabre P.;;;168;St;6113,01;489,05;5623,96;5623,96;5662,46;393,68;6950,66;;Hartkapseln;01.02.2019;Encorafenib 75 mg
05025737;Aclidinium bromid;BRETARIS;AstraZeneca Br.;;;1;St;0;0;0;0;0;0;0;;Inhalationspulver;15.08.2013;Aclidinium bromid 400 µg
09924102;Aclidinium bromid;BRETARIS;AstraZeneca Br.;;;1;St;40,56;11,46;29,1;29,1;30,72;0;47,84;;Inhalationspulver;01.10.2012;Aclidinium bromid 400 µg
09924119;Aclidinium bromid;BRETARIS;AstraZeneca Br.;;;3;St;116,81;29,51;87,3;87,3;90,75;0;121,42;;Inhalationspulver;01.10.2012;Aclidinium bromid 400 µg
11366951;Ticagrelor;BRILIQUE;AstraZeneca;;;60;St;74,4;16,23;58,17;58,17;60,7;4,07;84,59;;Filmtabletten;15.03.2016;Ticagrelor 60 mg
11366968;Ticagrelor;BRILIQUE;AstraZeneca;;;168;St;208,32;45,44;162,88;162,88;168,71;11,4;216,97;;Filmtabletten;15.03.2016;Ticagrelor 60 mg
09253205;Ticagrelor;BRILIQUE;AstraZeneca;;;14;St;0;0;0;0;0;0;0;;Filmtabletten;01.10.2011;Ticagrelor 90 mg
07560021;Ticagrelor;BRILIQUE;AstraZeneca;;;56;St;69,44;15,15;54,29;54,29;56,7;3,8;79,68;;Filmtabletten;01.01.2011;Ticagrelor 90 mg
07560038;Ticagrelor;BRILIQUE;AstraZeneca;;;100;St;124;27,05;96,95;96,95;100,7;6,79;133,61;;Filmtabletten;01.01.2011;Ticagrelor 90 mg
07560044;Ticagrelor;BRILIQUE;AstraZeneca;;;100;St;0;0;0;0;0;0;0;;Filmtabletten;01.01.2011;Ticagrelor 90 mg
07564065;Ticagrelor;BRILIQUE;AstraZeneca;;;168;St;208,32;45,44;162,88;162,88;168,71;11,4;216,97;;Filmtabletten;01.08.2013;Ticagrelor 90 mg
12747069;Ticagrelor;BRILIQUE;AstraZeneca;;;10;St;0;0;0;0;0;0;0;;Schmelztabletten;01.07.2017;Ticagrelor 90 mg
12471420;Aclidinium bromid | Formoterol hemifumarat-1-Wasser;BRIMICA;AstraZeneca Br.;;;1;St;0;0;0;0;0;0;0;;Inhalationspulver;01.09.2017;Aclidinium bromid 400 µg | Formoterol hemifumarat-1-Wasser 12 µg
10744718;Aclidinium bromid | Formoterol hemifumarat-1-Wasser;BRIMICA;AstraZeneca Br.;;;1;St;53,7;2,7;51;51;53,31;3,57;75,53;;Inhalationspulver;01.02.2015;Formoterol hemifumarat-1-Wasser 12 µg | Aclidinium bromid 400 µg
10744724;Aclidinium bromid | Formoterol hemifumarat-1-Wasser;BRIMICA;AstraZeneca Br.;;;3;St;161,1;8,1;153;153;158,52;10,71;204,49;;Inhalationspulver;01.03.2015;Formoterol hemifumarat-1-Wasser 12 µg | Aclidinium bromid 400 µg
13229307;Cerliponase alfa;BRINEURA;Biomarin Inter.;5;ml;1;P;24813,9;5006,21;19807,69;19807,69;19846,19;0;24335,67;;Infusionslösung;01.07.2017;Cerliponase alfa 150 mg
11548801;Brivaracetam;BRIVIACT;UCB;5;ml;10X5;ml;0;0;0;0;0;0;0;;Injektions-/Infusionslösung;15.02.2016;Brivaracetam 50 mg
12482642;Brivaracetam;BRIVIACT;UCB;1;ml;300;ml;242,7;161,1;81,6;81,6;84,87;5,71;114,22;;Lösung zum Einnehmen;01.06.2017;Brivaracetam 10 mg
12482470;Brivaracetam;BRIVIACT;UCB;;;14;St;41,86;22,82;19,04;19,04;20,34;1,33;35,12;;Filmtabletten;01.06.2017;Brivaracetam 10 mg
11703265;Brivaracetam;BRIVIACT;UCB;;;1X14;St;0;0;0;0;0;0;0;;Filmtabletten;01.06.2016;Brivaracetam 10 mg
12482501;Brivaracetam;BRIVIACT;UCB;;;14;St;41,86;22,82;19,04;19,04;20,34;1,33;35,12;;Filmtabletten;01.06.2017;Brivaracetam 25 mg
11703271;Brivaracetam;BRIVIACT;UCB;;;1X14;St;0;0;0;0;0;0;0;;Filmtabletten;01.06.2016;Brivaracetam 25 mg
12482518;Brivaracetam;BRIVIACT;UCB;;;56;St;167,44;91,28;76,16;76,16;79,26;5,33;107,34;;Filmtabletten;01.06.2017;Brivaracetam 25 mg
12482524;Brivaracetam;BRIVIACT;UCB;;;168;St;502,32;273,84;228,48;228,48;236,38;15,99;299,92;;Filmtabletten;01.06.2017;Brivaracetam 25 mg
12482530;Brivaracetam;BRIVIACT;UCB;;;14;St;41,86;22,82;19,04;19,04;20,34;1,33;35,12;;Filmtabletten;01.06.2017;Brivaracetam 50 mg
11703288;Brivaracetam;BRIVIACT;UCB;;;1X14;St;0;0;0;0;0;0;0;;Filmtabletten;01.06.2016;Brivaracetam 50 mg
12482547;Brivaracetam;BRIVIACT;UCB;;;56;St;167,44;91,28;76,16;76,16;79,26;5,33;107,34;;Filmtabletten;01.06.2017;Brivaracetam 50 mg
12482553;Brivaracetam;BRIVIACT;UCB;;;168;St;502,32;273,84;228,48;228,48;236,38;15,99;299,92;;Filmtabletten;01.06.2017;Brivaracetam 50 mg
12482576;Brivaracetam;BRIVIACT;UCB;;;14;St;41,86;22,82;19,04;19,04;20,34;1,33;35,12;;Filmtabletten;01.06.2017;Brivaracetam 75 mg
11703294;Brivaracetam;BRIVIACT;UCB;;;1X14;St;0;0;0;0;0;0;0;;Filmtabletten;01.06.2016;Brivaracetam 75 mg
12482582;Brivaracetam;BRIVIACT;UCB;;;56;St;167,44;91,28;76,16;76,16;79,26;5,33;107,34;;Filmtabletten;01.06.2017;Brivaracetam 75 mg
12482599;Brivaracetam;BRIVIACT;UCB;;;168;St;502,32;273,84;228,48;228,48;236,38;15,99;299,92;;Filmtabletten;01.06.2017;Brivaracetam 75 mg
12482607;Brivaracetam;BRIVIACT;UCB;;;14;St;41,86;22,82;19,04;19,04;20,34;1,33;35,12;;Filmtabletten;01.06.2017;Brivaracetam 100 mg
11703302;Brivaracetam;BRIVIACT;UCB;;;1X14;St;0;0;0;0;0;0;0;;Filmtabletten;01.06.2016;Brivaracetam 100 mg
12482613;Brivaracetam;BRIVIACT;UCB;;;56;St;167,44;91,28;76,16;76,16;79,26;5,33;107,34;;Filmtabletten;01.06.2017;Brivaracetam 100 mg
12482636;Brivaracetam;BRIVIACT;UCB;;;168;St;502,32;273,84;228,48;228,48;236,38;15,99;299,92;;Filmtabletten;01.06.2017;Brivaracetam 100 mg
14299764;Caplacizumab;CABLIVI;Sanofi selt.Erk;;;1;St;4609,93;974,49;3635,44;3635,44;3635,44;0;4466,14;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.10.2018;Caplacizumab 10 mg
14360498;Caplacizumab;CABLIVI;Sanofi selt.Erk;;;7;St;32038,5;6590,42;25448,08;25448,08;25448,08;0;31201,9;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.12.2018;Caplacizumab 10 mg
12358008;Cabozantinib L-malat;CABOMETYX;Ipsen Pharma;;;30;St;7300;2688,75;4611,25;4611,25;4649,75;322,79;5709,38;;Filmtabletten;01.11.2016;Cabozantinib L-malat 25,35 mg
12358020;Cabozantinib L-malat;CABOMETYX;Ipsen Pharma;;;30;St;7300;2688,75;4611,25;4611,25;4649,75;322,79;5709,38;;Filmtabletten;01.11.2016;Cabozantinib L-malat 50,7 mg
12358037;Cabozantinib L-malat;CABOMETYX;Ipsen Pharma;;;30;St;7300;2688,75;4611,25;4611,25;4649,75;322,79;5709,38;;Filmtabletten;01.11.2016;Cabozantinib L-malat 76,04 mg
09279707;Vandetanib;CAPRELSA;Sanofi-Aventis;;;30;St;2500;582,19;1917,81;1917,81;1956,31;134,25;2408,04;;Filmtabletten;15.03.2012;Vandetanib 100 mg
09279713;Vandetanib;CAPRELSA;Sanofi-Aventis;;;30;St;5000;1164,38;3835,62;3835,62;3874,12;268,49;4758,69;;Filmtabletten;15.03.2012;Vandetanib 300 mg
10938204;Eliglustat tartrat;CERDELGA;Sanofi selt.Erk;;;56;St;25827,73;5115,4;20712,33;20712,33;20750,83;0;25444,47;;Hartkapseln;01.04.2015;Eliglustat tartrat 100,06 mg
10938210;Eliglustat tartrat;CERDELGA;Sanofi selt.Erk;;;196;St;90397,08;17903,93;72493,15;72493,15;72531,65;0;88912,23;;Hartkapseln;01.04.2015;Eliglustat tartrat 100,06 mg
12359918;Reslizumab;CINQAERO;Teva;2,5;ml;2,5;ml;115,65;0;115,65;115,65;119,99;8,1;157,26;;Infusionslösungskonzentrat;01.08.2017;Reslizumab 25 mg
13827818;Reslizumab;CINQAERO;Teva;2,5;ml;2X2,5;ml;231,3;0;231,3;231,3;239,29;16,19;303,49;;Infusionslösungskonzentrat;01.10.2018;Reslizumab 25 mg
11692254;Reslizumab;CINQAERO;Teva;10;ml;10;ml;462,59;0;462,59;462,59;477,86;32,38;595,9;;Infusionslösungskonzentrat;15.01.2017;Reslizumab 100 mg
13827824;Reslizumab;CINQAERO;Teva;10;ml;2X10;ml;925,18;0;925,18;925,18;955,02;64,76;1180,75;;Infusionslösungskonzentrat;01.10.2018;Reslizumab 100 mg
10357832;Cabozantinib L-malat;COMETRIQ;Ipsen Pharma;;;56;St;6200;1600;4600;4600;4638,5;322;5695,6;;Hartkapseln;01.08.2014;Cabozantinib L-malat 101,39 mg | Cabozantinib L-malat 25,35 mg
10357826;Cabozantinib L-malat;COMETRIQ;Ipsen Pharma;;;112;St;6200;1600;4600;4600;4638,5;322;5695,6;;Hartkapseln;01.08.2014;Cabozantinib L-malat 101,39 mg | Cabozantinib L-malat 25,35 mg
10357803;Cabozantinib L-malat;COMETRIQ;Ipsen Pharma;;;84;St;6200;1600;4600;4600;4638,5;322;5695,6;;Hartkapseln;01.08.2014;Cabozantinib L-malat 25,35 mg
12454427;Linaclotid;CONSTELLA;Allergan Dubl.;;;112;St;196,95;0;0;196,95;203,85;13,79;260,05;;Hartkapseln;15.02.2017;Linaclotid 0,29 mg
10626700;Secukinumab;COSENTYX;Novartis Pharma;1;ml;2;St;1576;156,26;1419,74;1419,74;1458,24;0;1797,55;;Injektionslösung in einem Fertigpen;01.06.2015;Secukinumab 150 mg
10626717;Secukinumab;COSENTYX;Novartis Pharma;1;ml;3X2;St;4589,67;330,46;4259,21;4259,21;4297,71;0;5277,89;;Injektionslösung in einem Fertigpen;01.06.2015;Secukinumab 150 mg
10626686;Secukinumab;COSENTYX;Novartis Pharma;1;ml;2;St;1576;156,26;1419,74;1419,74;1458,24;0;1797,55;;Injektionslösung;01.06.2015;Secukinumab 150 mg
10626692;Secukinumab;COSENTYX;Novartis Pharma;1;ml;3X2;St;4589,67;330,46;4259,21;4259,21;4297,71;0;5277,89;;Injektionslösung;01.06.2015;Secukinumab 150 mg
